固资编号,固资名称,盘点结果,NG原因,盘点人
20E390036,PMG-3号自动搬运设备及周边,OK,-,PM000001,
21E390009,双色成型机PMG2#及周边设备,OK,-,PM000001,
20E390034,PMG-3号双色注塑成型机,OK,-,PM000001,
20E390035,PMG-3号用着磁脱磁机,OK,-,PM000001,
20E390037,PMG-3号输送设备,OK,-,PM000001,
20E390017,风冷式冷水机（双色）,OK,-,PM000001,
20E390016,风冷式冷水机（双色）,OK,-,PM000001,
22J580011,工业风扇,OK,-,PM000001,
11H580005,动力配电箱5#,OK,-,PM000001,
12E590055,电控柜,OK,-,PM000001,
20E390038,PMG-3号机械手,OK,-,PM000001,
20E390029,双色PMG机械设备,OK,-,PM000001,
21K590001,空调,OK,-,PM000001,
10E590005,风冷式冷水机,OK,-,PM000001,
