固资编号,固资名称,盘点结果,NG原因,盘点人
22C580008,电动液压车,OK,-,me,
14C580007,除湿机,OK,-,me,
14C580005,除湿机,OK,-,me,
05C390027,真空检查装置,OK,-,me,
05C390072,简易特性试验机,OK,-,me,
21B590007,捆包系统装置,OK,-,me,
06A680009,标准品放置台,OK,-,me,
06B680002,佳美货架,OK,-,me,
06B680005,佳美仓储标准品放置柜,OK,-,me,
11D390011,电气检查装置,OK,-,me,
05C390020,清漆后卷线检查机,OK,-,me,
21B590006,捆包系统装置,OK,-,me,
05D390028,电流测试机,OK,-,me,
21B590005,捆包系统装置,OK,-,me,
05D590014,检查治具,OK,-,me,
18C580001,温度补偿电阻抵抗计,OK,-,me,
18E390015,安全激光扫描仪（机械NO.#4B810869),OK,-,me,
21B790002,江淮2吨电动搬运车CDD20 1#,OK,-,me,
