固资编号,固资名称,盘点结果,NG原因,盘点人
20C390002,马达甩漆设备,OK,-,PM000001,
05B580029,分电盘,OK,-,PM000001,
17B590003,二维码扫描打印系统3,OK,-,PM000001,
18B590013,NOX在线分析仪,OK,-,PM000001,
19B580024,非甲烷总烃在线监测仪,OK,-,PM000001,
19B580023,非甲烷总烃在线监测仪,OK,-,PM000001,
19B580022,非甲烷总烃在线监测仪,OK,-,PM000001,
17B580013,空调2（完成室，机械NO:F000238,OK,-,PM000001,
16B380002,冷干机3,OK,-,PM000001,
13B580007,烟囱检测平台3#,OK,-,PM000001,
13B580008,烟囱检测平台4#,OK,-,PM000001,
13C580001,浸漆房环境改善脱臭设备,OK,-,PM000001,
21B390002,电热鼓风干燥箱1#,OK,-,PM000001,
21B390003,电热鼓风干燥箱2#,OK,-,PM000001,
21B390004,电热鼓风干燥箱3#,OK,-,PM000001,
21B390005,电热鼓风干燥箱4#,OK,-,PM000001,
21B390006,电热鼓风干燥箱5#,OK,-,PM000001,
21B390007,电热鼓风干燥箱6#,OK,-,PM000001,
21B390008,电热鼓风干燥箱7#,OK,-,PM000001,
21B390009,电热鼓风干燥箱8#,OK,-,PM000001,
21B390001,浸漆移栽机,OK,-,PM000001,
21B390010,漆液混合装置,NG,图片与实物不符,PM000001
